GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0400000US09,09,Connecticut,744560,1389,222908,1497,149615,1836,97954,2163,46586,1772,3733,484,1342,294,73293,1794,14756,1034,13275,896,1481,420,58537,1717,46135,1744,12402,1041,521652,1830,353003,3491,248098,3158,88503,2705,11925,1004,4477,658,168649,3646,32435,1722,29513,1639,2922,483,136214,3525,116587,3338,19627,1280
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4097,256,1054,211,778,159,437,119,299,115,42,67,0,19,276,154,80,88,80,88,0,19,196,128,175,119,21,25,3043,292,2450,272,1653,244,791,213,6,10,0,19,593,169,35,40,35,40,0,19,558,167,449,136,109,91
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",33495,960,11985,693,5064,571,2983,428,1705,348,280,165,96,72,6921,596,1270,271,1224,264,46,43,5651,546,4493,483,1158,270,21510,876,9412,727,6570,684,2119,378,558,247,165,128,12098,772,1824,429,1648,420,176,124,10274,787,8963,736,1311,320
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",4051,318,916,187,825,184,583,179,214,135,28,40,0,19,91,95,53,82,53,82,0,19,38,27,38,27,0,19,3135,280,2616,270,1916,309,514,195,150,97,36,34,519,208,106,92,106,92,0,19,413,198,400,203,13,20
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",16954,818,6174,627,3909,519,2692,411,1155,292,25,24,37,44,2265,460,646,292,642,292,4,7,1619,377,1376,350,243,187,10780,794,6973,690,5094,596,1739,394,84,65,56,64,3807,590,981,380,919,373,62,92,2826,463,2559,430,267,155
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7064,272,1909,246,1835,240,767,154,1046,242,22,37,0,22,74,52,0,22,0,22,0,22,74,52,74,52,0,22,5155,306,4645,316,2176,291,2291,274,76,52,102,97,510,198,176,100,157,99,19,30,334,155,240,119,94,79
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",1745,180,362,110,268,102,120,68,148,84,0,17,0,17,94,60,33,41,33,41,0,17,61,46,42,36,19,31,1383,192,1189,167,814,157,363,146,0,17,12,19,194,110,90,61,90,61,0,17,104,94,80,86,24,36
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14714,338,4127,361,3763,342,2274,314,1445,266,44,52,0,28,364,127,78,48,78,48,0,28,286,122,188,105,98,64,10587,437,9191,468,5492,473,3466,407,149,64,84,73,1396,242,422,159,415,159,7,11,974,227,817,210,157,98
